Item Name,Rate Per Kg,Vendor Name,POC,POC Number,POC Email,Vendor GST,Vendor Address,Vendor State,Vendor Pincode
Stevia 97%,"₹8,500.00 ",Scope Ingredients Pvt Ltd,Henil Shah,8433980484,henil.shah@scope-india.com,07ABMCS7087D1ZX,"Ground Floor, Khasra No.1/21, Gali No.5, Main Burari Road, Swaroop Nagar,New Delhi",Delhi,110042
Jaggery Powder Dhampure,₹80.00 ,Dhampure Speciality Sugar,,,shrey@sugarindia.com,09AACCD0719N1ZI,"Vill. Pallawala, Tehsil Dhampur",Uttar Pradesh,246761
Milk Permeate Powder ,₹135.00 ,Kp Manish Global,Kishan,,kishan@kpmanish.com,06AABCL3843N1ZA,"Ground Floor, KILLA NO 7//23/1, 23/2, 24/1, NARELA ROAD, Village Safiabad Pana Paposian, Kundli Industrial Area,",Haryana,131028
Skimmed Milk Powder (New),₹280.00 ,Tirumala Milk Products,Mr.Virang,7304921327,infoavchemical@gmail.com,27ABVFA7475M1ZF,"9th Floor, 901, Sureshwari Techno IT Park Premises co-op society limited, Link Road, Borivali West",Maharashtra,400092
Hpmc Cap White /White Size '00',₹0.42 ,Universal Capsules Pvt.Ltd,,,Vikram.singh@acg-world.com,27AAVCA5168M1ZT,"Plot No. 20, Sector No. 13 AURIC Ð Shendra,
Chhatrapati Sambhaji Nagar",Maharashtra,431007
Brown Rice Protein 80%,₹375.00 ,Kp Manish Global,,7806809149,kishan@kpmanish.com,27AABCL3843N1Z6,"12/100 unnat nagar no 4,C.C.I colony behind jain temple,M.G road",Mumbai,400062
IPA,₹125.00 ,Dp Pharma,,,warehouse@mediwell.in,02AAPCM3559C1ZL,"Plot No 38, Phase IV, HIMUDA Industrial Township, Bhatolikalan, Baddi",Himachal Pradesh,173205
Lactose Monohydrate,₹155.00 ,Kp Manish Global,,7806809149,kishan@kpmanish.com,27AABCL3843N1Z6,"12/100 unnat nagar no 4,C.C.I colony behind jain temple,M.G road",Mumbai,400062
Cocoa Powder -Pancake,₹785.00 ,Functional & Innovative Foods,Nitin Sohal,9218641425,nitintraders.sml@gmail.com,02ARHPS4452Q1ZA,"25/2,, Bhagat Singh Road, Anaj Mandi,",Himachal Pradesh,171001
Roasted Jowar Flour- Pancake,₹68.00 ,Functional & Innovative Foods,kannan,9047045009,"Kannan@functionalinnovativefoods.com,business@functionalinnovativefoods.com",33AAICC9720G2ZP,"Door No: 3/1481, Paasuraan Kadu, Karumapuram Post,
Morepalayam Village, Tiruchengode",Tamil Nadu,637205
Roasted Oats Flour- Pancake,₹113.50 ,Functional & Innovative Foods,kannan,9047045009,"Kannan@functionalinnovativefoods.com,business@functionalinnovativefoods.com",33AAICC9720G2ZP,"Door No: 3/1481, Paasuraan Kadu, Karumapuram Post,
Morepalayam Village, Tiruchengode",Tamil Nadu,637205
